placekey,location_name,lat,lon,top_category,sub_category,borough,income_known_devices,income_mixing_score,expected_mixing_score,mixing_residual_z,balance_score,expected_balance_score,balance_residual_z,bootstrap_stability_pct,months_confirmed,evidence_tier,direction
228-223@627-vvk-tvz,Staten Island-Hylan Blvd,40.587444,-74.091052,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,Staten Island,646,0.8916,0.89,0.003,0.6838,0.6775,0.021,,0,none,
22c-222@627-s4k-d5f,Westside Market NYC,40.795828,-73.971297,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Manhattan,203,0.9458,0.9483,-0.007,0.7796,0.786,-0.044,,0,none,
22c-224@627-wdm-66k,Favorite Choice Grocery,40.612326,-74.008145,Grocery Stores,,Brooklyn,307,0.9355,0.9347,-0.011,0.7728,0.7487,0.338,,0,none,
zzy-228@627-wc9-49z,DUMBO NYC Ferry Terminal,40.702,-73.992989,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Brooklyn,1908,0.9818,0.9762,0.127,0.8636,0.8703,-0.136,,0,none,
zzy-222@627-rwq-x5z,Space Time Playground,40.822323,-73.859893,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,Bronx,741,0.7994,0.8683,-0.907,0.5553,0.6983,-1.715,,0,none,
zzy-226@627-s6b-z4v,Dunkin',40.820326,-73.912599,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Bronx,188,0.643,0.6423,0.005,0.4189,0.4297,-0.131,,0,none,
223-225@627-sb8-ndv,Pronto Pizzeria,40.779039,-73.914445,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,149,0.907,0.8849,0.479,0.6862,0.6815,0.085,,0,none,
zzy-227@627-rzm-m8v,2020 Hot Grill Deli,40.7567,-73.738846,Restaurants and Other Eating Places,Limited-Service Restaurants,Queens,1837,0.9195,0.9277,-0.175,0.7388,0.7339,0.087,,0,none,
226-223@627-vty-2rk,Keshis Deli,40.635881,-74.134981,Specialty Food Stores,All Other Specialty Food Stores,Staten Island,110,0.9456,0.9466,-0.042,0.7727,0.7951,-0.304,,0,none,
22c-226@627-s8r-n3q,Blank Street Coffee,40.769775,-73.962504,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Manhattan,68,0.929,0.9255,0.146,0.7647,0.756,0.16,,0,none,
238-224@627-s7s-rx5,Bravo Supermarkets,40.754192,-73.858376,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Queens,154,0.8676,0.8692,-0.031,0.6315,0.6586,-0.374,,0,none,
23j-223@627-wgv-28v,Mai thai,40.643233,-74.008455,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,107,0.9136,0.9223,-0.286,0.729,0.7472,-0.313,,0,none,
23k-222@627-s7k-dvz,Song & A Dance,40.729895,-73.889806,Performing Arts Companies,Theater Companies and Dinner Theaters,Queens,141,0.8789,0.883,-0.086,0.6755,0.687,-0.149,,0,none,
zzw-227@627-s7r-4y9,Tequila Time Bar Cafe,40.703235,-73.90823,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,68,0.7715,0.8807,-2.357,0.5735,0.6895,-1.654,,0,none,
22w-223@627-wdm-gc5,Izakaya Ajimi,40.60784,-74.00219,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,213,0.8808,0.9309,-1.487,0.6643,0.736,-1.133,,0,none,
239-222@627-s4n-wzf,San Matteo Pizza & Espresso Bar,40.780458,-73.95018,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,122,0.9594,0.9335,0.716,0.8135,0.7684,0.653,,0,none,
222-222@627-tnw-hyv,Abdon's Vdip,40.676729,-73.768185,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,Queens,354,0.9148,0.8919,0.497,0.7013,0.6909,0.166,,0,none,
zzy-23w@627-s8y-8vz,Empanada Loca,40.690384,-73.982531,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,91,0.998,0.9678,0.842,0.9533,0.8521,1.523,,0,none,
224-222@627-s9q-8d9,Dunkin',40.702367,-73.81359,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Queens,245,0.9067,0.9153,-0.183,0.7143,0.724,-0.123,,0,none,
